fixture_id,kickoff,team,player,p_shots_gt0.5,odds_shots_gt0.5,ev_shots_gt0.5,p_shots_gt1.5,odds_shots_gt1.5,ev_shots_gt1.5,p_shots_gt2.5,odds_shots_gt2.5,ev_shots_gt2.5,p_sot_gt0.5,odds_sot_gt0.5,ev_sot_gt0.5,p_sot_gt1.5,odds_sot_gt1.5,ev_sot_gt1.5
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Emiliano Buendía,0.755,1.1,-0.169,0.48,1.44,-0.309,0.274,2.25,-0.383,,1.83,,,6.0,
1557374,2026-08-23T13:00:00+00:00,Manchester City,Gianluigi Donnarumma,0.0,,,0.0,,,0.0,,,,,,,,
1557374,2026-08-23T13:00:00+00:00,Manchester City,Abdukodir Khusanov,0.395,1.8,-0.289,0.115,4.33,-0.502,0.029,13.0,-0.623,,3.75,,,19.0,
1557374,2026-08-23T13:00:00+00:00,Manchester City,Rúben Dias,0.449,1.67,-0.25,0.151,4.0,-0.396,0.044,11.0,-0.516,0.285,3.75,0.069,0.058,19.0,0.102
1557374,2026-08-23T13:00:00+00:00,Manchester City,Marc Guéhi,0.492,1.33,-0.346,0.184,2.38,-0.562,0.06,5.5,-0.67,,2.62,,,11.0,
1557374,2026-08-23T13:00:00+00:00,Manchester City,Joško Gvardiol,0.625,1.4,-0.125,0.312,2.62,-0.183,0.137,6.0,-0.178,0.379,2.62,-0.007,0.105,11.0,0.155
1557374,2026-08-23T13:00:00+00:00,Manchester City,Elliot Anderson,,1.25,,,2.1,,,4.33,,,2.62,,,11.0,
1557374,2026-08-23T13:00:00+00:00,Manchester City,Rico Lewis,0.433,1.8,-0.221,0.14,4.33,-0.394,0.039,13.0,-0.493,0.343,3.75,0.286,0.085,19.0,0.615
1557374,2026-08-23T13:00:00+00:00,Manchester City,Antoine Semenyo,0.874,1.06,-0.074,0.685,1.33,-0.089,0.497,1.91,-0.051,,1.44,,,3.25,
1557374,2026-08-23T13:00:00+00:00,Manchester City,Nico O'Reilly,0.687,1.08,-0.258,0.386,1.4,-0.46,0.192,2.2,-0.578,,1.73,,,4.5,
1557374,2026-08-23T13:00:00+00:00,Manchester City,Phil Foden,0.872,1.06,-0.076,0.682,1.33,-0.093,0.494,1.91,-0.056,0.607,1.53,-0.071,0.292,3.5,0.022
1557374,2026-08-23T13:00:00+00:00,Manchester City,Erling Haaland,0.924,,,0.793,1.05,-0.167,0.641,1.18,-0.244,0.762,1.1,-0.162,0.49,1.5,-0.265
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Đorđe Petrović,0.0,,,0.0,,,0.0,,,,,,,,
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Adam Smith,0.096,3.0,-0.712,0.006,11.0,-0.934,0.0,,,0.084,7.0,-0.412,0.005,,
1557374,2026-08-23T13:00:00+00:00,Bournemouth,António Silva,,2.25,,,8.0,,,21.0,,,6.0,,,,
1557374,2026-08-23T13:00:00+00:00,Bournemouth,James Hill,0.255,2.0,-0.49,0.046,6.0,-0.724,0.007,19.0,-0.867,0.143,5.5,-0.214,0.014,,
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Adrien Truffert,0.21,2.2,-0.538,0.031,6.5,-0.798,0.004,21.0,-0.916,,5.0,,,,
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Lewis Cook,0.223,2.25,-0.498,0.035,8.0,-0.72,0.005,21.0,-0.895,0.103,6.0,-0.382,0.007,,
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Alex Scott,0.473,1.44,-0.319,0.169,3.0,-0.493,0.052,7.0,-0.636,0.14,3.25,-0.545,0.013,17.0,-0.779
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Rayan,0.625,,,0.311,,,0.136,,,,,,,,
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Justin Kluivert,0.622,1.33,-0.173,0.308,2.38,-0.267,0.134,5.5,-0.263,0.221,2.0,-0.558,0.034,6.5,-0.779
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Marcus Tavernier,0.644,1.18,-0.24,0.333,1.8,-0.401,0.152,3.4,-0.483,0.192,2.1,-0.597,0.026,7.0,-0.818
1557374,2026-08-23T13:00:00+00:00,Bournemouth,Evanilson,0.664,1.2,-0.203,0.357,1.83,-0.347,0.169,3.5,-0.408,,2.0,,,6.5,
